ccmaName,ccbaMnm1,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaKdcd,ccbaCtcd,ccbaAsno,ccbaCncl,ccbaCpno,longitude,latitude,gcodeName,bcodeName,mcodeName,scodeName,ccbaLcad,ccceName,b_class,b_reason,has_coord,grade_w
보물,경주 서악동 삼층석탑,경북,경주시,경주시,12,37,0000650000000,N,1123700650000,129.18482657843,35.8279596455259,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 서악동 705-1번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 석빙고,경북,경주시,경주시,12,37,0000660000000,N,1123700660000,129.22394548465,35.8331434495042,유적건조물,정치국방,궁궐·관아,관아,<![CDATA[경북 경주시 인왕동 449-1번지]]>,조선시대,B1,관아 건물,Y,2.0
보물,경주 효현동 삼층석탑,경북,경주시,경주시,12,37,0000670000000,N,1123700670000,129.169688452798,35.8232909173997,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 효현동 419-1번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 황남동 효자 손시양 정려비,경북,경주시,경주시,12,37,0000680000000,N,1123700680000,129.210983563408,35.836269476309,기록유산,서각류,금석각류,비,<![CDATA[경북 경주시 황남동 240-3번지]]>,고려시대,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
보물,경주 망덕사지 당간지주,경북,경주시,경주시,12,37,0000690000000,N,1123700690000,129.243162918554,35.8164213165065,유적건조물,종교신앙,불교,당간,<![CDATA[경북 경주시 배반동 964-2번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 서악동 귀부,경북,경주시,경주시,12,37,0000700000000,N,1123700700000,129.189941084065,35.8250087940259,유물,불교조각,석조,귀부이수,<![CDATA[경북 경주시 서악동 1006-1번지]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 굴불사지 석조사면불상,경북,경주시,경주시,12,37,0001210000000,N,1123701210000,129.2300760894,35.8577781366711,유물,불교조각,석조,불상,<![CDATA[경북 경주시 동천동 산4번지]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 율동 마애여래삼존입상,경북,경주시,경주시,12,37,0001220000000,N,1123701220000,129.174539387363,35.8047107980655,유물,불교조각,석조,불상,<![CDATA[경북 경주시 두대안길 69 (율동)]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 보문사지 당간지주,경북,경주시,경주시,12,37,0001230000000,N,1123701230000,129.252743665298,35.8251761006521,유적건조물,종교신앙,불교,당간,<![CDATA[경북 경주시 보문동 856-3번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 남산동 동·서 삼층석탑,경북,경주시,경주시,12,37,0001240000000,N,1123701240000,129.24401221261,35.7931261692767,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 남산동 227-3번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 무장사지 아미타불 조상 사적비,경북,경주시,경주시,12,37,0001250000000,N,1123701250000,129.351130587927,35.8809386096532,유물,불교조각,석조,귀부이수,<![CDATA[경북 경주시 암곡동 산1-9번지]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 무장사지 삼층석탑,경북,경주시,경주시,12,37,0001260000000,N,1123701260000,129.350206829991,35.8813417344977,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 암곡동 산1-7번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 삼랑사지 당간지주,경북,경주시,경주시,12,37,0001270000000,N,1123701270000,129.201942957476,35.8457147013099,유적건조물,종교신앙,불교,당간,<![CDATA[경북 경주시 성건동 129-1번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 남산 미륵곡 석조여래좌상,경북,경주시,경주시,12,37,0001360000000,N,1123701360000,129.235633710182,35.8115224865444,유물,불교조각,석조,불상,<![CDATA[경북 경주시 배반동 산66-2번지]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 천군동 동·서 삼층석탑,경북,경주시,경주시,12,37,0001680000000,N,1123701680000,129.281191258188,35.8315718459164,유적건조물,종교신앙,불교,탑,"<![CDATA[경북 경주시 천군동 550-2번지 ,550-3]]>",통일신라시대,B2,석조물,Y,2.0
보물,경주 남산 용장사곡 삼층석탑,경북,경주시,경주시,12,37,0001860000000,N,1123701860000,129.223073,35.780935,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 내남면 용장리 산1-1번지]]>,통일신라시대,B2,석조물,Y,2.0
보물,경주 남산 용장사곡 석조여래좌상,경북,경주시,경주시,12,37,0001870000000,N,1123701870000,129.2212727,35.77856604,유물,불교조각,석조,불상,<![CDATA[경북 경주시 내남면 용장리 산1-1번지]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 남산 불곡 마애여래좌상,경북,경주시,경주시,12,37,0001980000000,N,1123701980000,129.23047370725,35.8190106406646,유물,불교조각,석조,불상,<![CDATA[경북 경주시 인왕동 산56번지]]>,삼국시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 남산 신선암 마애보살반가상,경북,경주시,경주시,12,37,0001990000000,N,1123701990000,129.234960901358,35.7715094135097,유물,불교조각,석조,보살상,<![CDATA[경북 경주시 남산동 산36-4번지]]>,통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,경주 남산 탑곡 마애불상군,경북,경주시,경주시,12,37,0002010000000,N,1123702010000,129.232812251834,35.8146590446083,유물,불교조각,석조,불상,"<![CDATA[경북 경주시 배반동 산72, 산79]]>",통일신라시대,B2,야외 석불·마애불·암각화,Y,2.0
보물,포항 보경사 원진국사비,경북,포항시,보경사,12,37,0002520000000,N,1123702520000,129.318099,36.252532,기록유산,서각류,금석각류,비,"<![CDATA[경북 포항시 북구 송라면 보경로 523, 보경사 (중산리)]]>",고려시대,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
