u,v,length_m,highway
10857999971,9657906541,30.4,tertiary
9657906541,9657906540,9.7,tertiary
9657906540,9657906538,10.0,tertiary
9657906538,9657906537,24.4,tertiary
9657906537,9657906536,5.8,tertiary
9657906536,9657906535,6.0,tertiary
9657906535,9657906534,7.0,tertiary
9657906534,10857705866,16.4,tertiary
10857705866,10857705854,40.0,tertiary
10857705854,5342836245,14.9,tertiary
5342836245,10857691484,26.1,tertiary
10857691484,529804022,31.9,tertiary
529804022,10857691483,47.6,tertiary
10857691483,529780911,96.5,tertiary
529804458,2911126374,134.4,residential
2911126374,529804457,17.5,residential
529804457,13147446275,29.1,residential
13147446275,529804452,59.0,residential
529804452,2911126371,60.1,residential
2911126371,529804449,20.7,residential
529804449,529804450,84.1,residential
529804464,10857621944,6.7,residential
10857621944,7437065248,56.6,residential
7437065248,529804469,35.5,residential
529804469,529804465,21.7,residential
529804465,10857999932,13.9,residential
10857999932,529804462,48.3,residential
529804462,10857998377,29.7,residential
10857998377,10857998383,34.2,residential
10857998383,11507998100,12.0,residential
11507998100,529804461,30.3,residential
529804461,11507998149,38.7,residential
11507998149,529804460,22.4,residential
529804461,11507998098,27.0,residential
11507998098,11507998097,19.9,residential
11507998097,529804453,20.6,residential
529804453,11507998101,23.5,residential
11507998101,2911126361,45.3,residential
529804453,529804454,62.4,residential
529804465,529804466,74.1,residential
529804467,529804471,33.9,residential
529804471,529804468,51.6,residential
529804470,529804471,73.7,residential
529807851,529807852,43.8,residential
529807852,529807853,37.5,residential
529807853,529807854,37.1,residential
529807854,529807855,36.4,residential
529807855,529807856,30.0,residential
529807856,529807824,37.5,residential
529807824,529807825,26.3,residential
529807825,529807826,23.7,residential
529807826,529807827,17.9,residential
529807827,529807828,16.7,residential
529807828,699849915,17.9,residential
529807761,699849865,75.3,residential
699849865,699850078,75.0,residential
699850078,699849945,69.8,residential
699849945,699850076,71.1,residential
699850076,529807812,76.2,residential
529807812,699850051,110.4,residential
699850051,699850223,64.2,residential
699850223,529807833,57.9,residential
529807833,529807834,20.7,residential
529807834,529807835,14.8,residential
529807835,529807836,19.6,residential
529807836,529807837,24.3,residential
10831436508,10831436506,94.8,footway
10831436506,1780115793,34.1,footway
1780115793,10831436507,233.9,footway
10831436507,2818004362,66.2,footway
2818004362,3657648701,134.9,footway
3657648701,11174881775,4.6,footway
11174881775,2818004364,9.4,footway
529807747,529807748,62.7,residential
529807748,529807752,24.7,residential
529807752,529807753,49.8,residential
529807753,529807754,40.7,residential
699849885,10857705901,16.0,residential
10857705901,699850051,18.2,residential
699850051,4309889227,63.7,residential
4309889227,529807801,125.9,residential
699850135,10857705900,14.6,residential
10857705900,699850223,18.6,residential
699850223,529807810,33.3,residential
529807810,529807802,53.6,residential
529807810,529807838,135.0,residential
529807768,699850078,82.3,residential
699850078,10857705905,19.5,residential
10857705905,699850098,15.2,residential
699850098,529807778,91.6,residential
529807778,699849814,51.6,residential
529807769,699849945,104.3,residential
699849945,10857705904,16.6,residential
10857705904,699849916,19.3,residential
699849916,11116533456,75.4,residential
11116533456,529807776,45.1,residential
529807777,699850137,51.6,living_street
699850120,699850183,114.6,living_street
699850183,699849865,34.7,living_street
699849865,529807771,59.8,living_street
699850127,10857621942,6.4,living_street
10857621942,699849818,49.2,living_street
699849818,699849838,40.1,living_street
699849838,699850017,37.6,living_street
699850017,699850088,39.2,living_street
699850088,699850103,43.9,living_street
699850103,699849824,42.1,living_street
699849824,699849847,41.8,living_street
699849847,529807754,37.6,living_street
699849818,529807780,90.3,living_street
529807780,529807766,68.2,living_street
699849838,2911126369,90.3,living_street
2911126369,529807767,78.3,living_street
699850017,2911126368,90.3,living_street
2911126368,529807764,86.2,living_street
699850103,2911126366,90.3,living_street
2911126366,529807749,93.0,living_street
699849824,2911126365,90.3,living_street
2911126365,529807750,92.2,living_street
699849847,2911126364,90.2,living_street
2911126364,529807751,89.3,living_street
2911126365,2911126366,42.1,living_street
529807811,10857705902,19.4,residential
10857705902,529807812,14.1,residential
529807812,529807809,27.8,residential
529807809,11507998155,48.4,residential
11507998155,11507998156,31.4,residential
11507998156,529807800,45.0,residential
529470224,903876985,37.3,footway
903876985,529815704,13.9,footway
529815704,529815705,15.5,footway
529815705,529815682,18.2,footway
529815682,529815683,14.8,footway
529815683,529815684,14.2,footway
529815684,529815685,15.1,footway
529815685,529815686,15.3,footway
529815686,529815687,20.2,footway
529815687,529815688,24.0,footway
529815688,903877056,36.7,footway
903877056,529815694,16.0,footway
529815694,529815695,4.9,footway
529815695,529815700,27.3,footway
529815700,904021049,59.9,footway
904021049,529815696,33.6,footway
529815696,529815697,35.1,footway
529815697,529815698,30.2,footway
529815698,904021044,10.6,footway
904021044,529815699,33.7,footway
529815699,529815753,58.5,footway
529815753,3756931474,35.0,footway
3756931474,529815754,19.7,footway
529815754,529815755,82.3,footway
529815755,529815756,46.3,footway
529815756,13096041038,45.6,footway
13096041038,529815767,43.7,footway
529815767,10968489027,17.2,footway
10968489027,3756931465,12.1,footway
529815679,904021110,29.3,path
904021110,529815733,67.8,path
529815733,529815745,28.7,path
529815745,529815746,23.5,path
529815746,529815747,37.9,path
529815747,904021084,20.5,path
904021084,529815750,17.8,path
529815750,529815751,29.3,path
529815751,529815752,34.5,path
529815752,903877053,61.6,path
903877053,529815760,31.8,path
529815760,529815761,42.7,path
529815761,904020989,24.1,path
904020989,529815762,14.1,path
529815762,529815769,42.4,path
529815769,3756931462,23.3,path
529815692,3759567231,14.8,footway
3759567231,529815693,36.1,footway
529815693,529815680,57.6,footway
529815680,13096041012,27.4,footway
13096041012,529815681,27.7,footway
529815681,529815672,46.7,footway
10861820176,10861820175,93.8,service
10861820175,10861820174,8.2,service
10861820174,10861820173,76.6,service
10861820173,6021663239,13.3,service
6021663239,6021663240,3.4,service
6021663240,6021663241,4.9,service
6021663241,6021663242,4.4,service
6021663242,6021663243,6.0,service
6021663243,6021663244,34.9,service
2911126387,3756931686,10.0,residential
3756931686,530278084,16.7,residential
530278084,6021663245,78.4,residential
6021663245,530278091,27.0,residential
530278091,530278164,49.8,residential
530278164,530278165,102.1,residential
530278102,530278101,17.9,residential
530278101,530278100,17.9,residential
530278100,530278099,16.6,residential
530278099,530278098,10.8,residential
530278098,530278095,11.2,residential
530278095,13094912442,15.8,residential
13094912442,530278096,10.1,residential
530278096,530278097,18.4,residential
530278097,530278169,20.2,residential
530278169,530278170,16.4,residential
530278170,530278171,25.7,residential
530278171,530278172,20.1,residential
530278172,530278173,22.0,residential
530278173,530278174,12.1,residential
530278174,10861820172,39.4,residential
10861820177,530278178,54.4,residential
530278178,530278179,49.0,residential
530278179,530278180,12.6,residential
530278180,530278183,18.9,residential
530278183,530278105,23.5,residential
530278105,530278106,36.1,residential
530278106,530278107,31.0,residential
