feature_id,name,lat,lon,lat2,lon2,sigungu,weight,geom,value,source
A6,풍일로(일직면),36.4780674,128.6272274,36.4783768,128.627669,안동시,359,segment,0.0,가로수길 표준데이터 수종분류
A6,풍일로(일직면),36.4758431,128.5984738,36.4757406,128.5987283,안동시,141,segment,0.5,가로수길 표준데이터 수종분류
A6,풍일로(일직면),36.4782238,128.6499582,36.478086,128.650145,안동시,23,segment,1.0,가로수길 표준데이터 수종분류
A6,일직점곡로(일직면),36.4652039,128.6635596,36.4651437,128.6640045,안동시,249,segment,1.0,가로수길 표준데이터 수종분류
A6,안평일직길(일직면),36.4734048,128.6602317,36.4719766,128.6592641,안동시,102,segment,0.0,가로수길 표준데이터 수종분류
A6,남일로(남후면),36.5250133,128.6861629,36.5245184,128.6873913,안동시,33,segment,1.0,가로수길 표준데이터 수종분류
A6,남일로(남후면),36.5419749,128.647203,36.5415985,128.6483563,안동시,132,segment,1.0,가로수길 표준데이터 수종분류
A6,암산길(남후면),36.5042951,128.6716728,36.5044085,128.6719431,안동시,56,segment,0.5,가로수길 표준데이터 수종분류
A6,샘들윗길(남선면),36.5347823,128.7952814,36.5326927,128.7946302,안동시,69,segment,0.0,가로수길 표준데이터 수종분류
A6,갈라산길(남선면),36.5100445,128.7574855,36.5106234,128.7579451,안동시,457,segment,1.0,가로수길 표준데이터 수종분류
A6,백운솔숲길(임하면),36.5377852,128.8516701,36.5370944,128.8520555,안동시,135,segment,1.0,가로수길 표준데이터 수종분류
A6,"임하길,호계길(임하면)",36.5265511,128.861405,36.5263645,128.8618136,안동시,121,segment,0.0,가로수길 표준데이터 수종분류
A6,고란길(길안면),36.4114615,128.9468297,36.4112027,128.9466784,안동시,354,segment,0.5,가로수길 표준데이터 수종분류
A6,대사로(길안면),36.3703612,128.9299172,36.3699282,128.9305082,안동시,306,segment,0.0,가로수길 표준데이터 수종분류
A6,수곡용계로(길안면),36.5512156,128.9230375,36.5508535,128.9231402,안동시,1550,segment,0.5,가로수길 표준데이터 수종분류
A6,의성길안로(길안면),36.437498,128.8338062,36.4378087,128.8341146,안동시,486,segment,0.0,가로수길 표준데이터 수종분류
A6,길안청송로(길안면),36.4555943,128.8941388,36.4556195,128.8948198,안동시,565,segment,0.0,가로수길 표준데이터 수종분류
A6,충효로(길안면),36.4705056,128.8862129,36.4702802,128.8862186,안동시,275,segment,1.0,가로수길 표준데이터 수종분류
A6,사월큰길(임동면),36.5696612,128.9223444,36.5699498,128.9223292,안동시,299,segment,0.0,가로수길 표준데이터 수종분류
A6,가느래이설길(임동면),36.551698,128.8826568,36.551748,128.8829149,안동시,127,segment,1.0,가로수길 표준데이터 수종분류
