feature_id,name,lat,lon,value,group_id,seq,sigungu,geom,source
A4,모래,35.656126,129.451395,모래,759,3,경주시,polyline_point,국립해양조사원 해안선 2026
A4,모래,35.65626,129.451458,모래,759,4,경주시,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.323178,129.381663,방벽,836,0,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.323354,129.381633,방벽,836,1,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.32353,129.381568,방벽,836,2,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.323622,129.381565,방벽,836,3,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.028972,129.58212,암반,851,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.029042,129.582302,암반,851,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.02908,129.582138,암반,851,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.029137,129.582091,암반,851,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,37.127959,129.371305,암반,874,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,37.128053,129.371465,암반,874,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,37.128112,129.371645,암반,874,2,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,37.128172,129.371801,암반,874,3,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,37.128249,129.371946,암반,874,4,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,37.128399,129.371933,암반,874,5,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,37.128428,129.371878,암반,874,6,울진군,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.025377,129.577659,자갈,877,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.025183,129.577539,자갈,877,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.025059,129.57746,자갈,877,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.024969,129.577329,자갈,877,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.02487,129.577216,자갈,877,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.024737,129.577185,자갈,877,5,포항시,polyline_point,국립해양조사원 해안선 2026
A4,자갈,36.024608,129.577176,자갈,877,6,포항시,polyline_point,국립해양조사원 해안선 2026
